cv.TM_CCOEFF
name,min_val,max_val
im445,-2863866.0,3921055.25
im446,-2843439.25,3909870.5
im447,-2823174.5,3871033.75
im448,-2764990.0,3864263.5
im449,-2583763.25,3871650.75
im450,-2276727.75,3875499.75
im451,-1851045.25,3926801.75
im452,-1857038.875,3950015.25
im453,-1855923.875,3964098.25
im454,-1850910.0,4013908.5
im455,-1852660.875,4024548.0
im456,-1859140.0,4028229.75
